"Isolate","level 1","level 2"
"11679_7#62",14,63
"11679_7#63",4,16
"11679_7#64",21,89
"11679_7#65",23,93
"11679_7#66",11,54
"11679_7#67",14,63
"11679_7#68",12,57
"11679_7#69",24,100
"11679_7#70",3,11
"11679_7#71",4,20
"11679_7#72",4,18
"11679_7#73",9,46
"11679_7#74",4,16
"11679_7#75",21,88
"11679_7#76",9,45
"11679_7#77",16,70
"11679_7#78",19,80
"11679_7#79",4,15
"11679_7#8",3,11
"11679_7#80",4,16
"11679_7#81",1,1
"11679_7#82",20,87
"11679_7#83",5,21
"11679_7#84",5,21
"11679_7#85",3,13
"11679_7#86",3,12
"11679_7#87",3,13
"11679_7#88",7,34
"11679_7#89",9,48
"11679_7#9",10,51
"11679_7#90",5,21
"11679_7#91",6,29
"11679_7#92",16,71
"11679_7#93",3,11
"11679_7#94",4,16
"11679_7#95",2,8
"11679_7#96",12,57
"11679_8#1",3,13
"11679_8#10",4,16
"11679_8#11",3,11
"11679_8#12",12,60
"11679_8#13",14,63
"11679_8#14",6,32
"11679_8#15",2,8
"11679_8#16",6,32
"11679_8#17",12,58
"11679_8#18",4,17
"11679_8#19",10,53
"11679_8#2",5,21
"11679_8#20",9,45
"11679_8#21",4,16
"11679_8#22",14,66
"11679_8#23",9,49
"11679_8#24",19,80
"11679_8#25",24,100
"11679_8#26",23,96
"11679_8#27",12,60
"11679_8#28",1,1
"11679_8#29",1,3
"11679_8#3",9,46
"11679_8#30",8,40
"11679_8#31",14,66
"11679_8#32",18,77
"11679_8#33",23,96
"11679_8#34",22,90
"11679_8#35",5,21
"11679_8#36",5,21
"11679_8#37",6,26
"11679_8#38",4,16
"11679_8#39",4,16
"11679_8#4",14,63
"11679_8#40",13,61
"11679_8#41",4,16
"11679_8#42",4,16
"11679_8#43",5,21
"11679_8#44",7,34
"11679_8#45",6,26
"11679_8#46",4,16
"11679_8#47",5,21
"11679_8#48",5,22
"11679_8#49",23,93
"11679_8#5",10,53
"11679_8#50",5,21
"11679_8#52",2,7
"11679_8#53",9,44
"11679_8#54",2,6
"11679_8#55",7,37
"11679_8#56",22,91
"11679_8#57",3,13
"11679_8#58",5,21
"11679_8#59",17,73
"11679_8#6",3,12
"11679_8#60",6,28
"11679_8#61",14,63
"11679_8#62",19,80
"11679_8#63",23,96
"11679_8#64",16,70
"11679_8#65",20,85
"11679_8#66",5,24
"11679_8#67",12,57
"11679_8#68",5,21
"11679_8#69",5,21
"11679_8#7",6,29
"11679_8#70",3,13
"11679_8#71",2,8
"11679_8#72",19,80
"11679_8#73",21,88
"11679_8#74",3,13
"11679_8#75",23,94
"11679_8#76",5,24
"11679_8#77",11,54
"11679_8#78",4,17
"11679_8#79",5,21
"11679_8#8",19,80
"11679_8#80",23,93
"11679_8#81",14,63
"11679_8#82",6,31
"11679_8#83",4,20
"11679_8#84",3,13
"11679_8#85",3,11
"11679_8#86",3,13
"11679_8#87",3,13
"11679_8#88",12,57
"11679_8#89",1,4
"11679_8#9",6,28
"11679_8#90",19,80
"11679_8#91",24,99
"11679_8#92",17,72
"11679_8#93",24,99
"11679_8#94",1,1
"11679_8#95",10,51
"11679_8#96",4,16
"11791_3#1",12,58
"11791_3#10",9,44
"11791_3#11",9,47
"11791_3#12",4,16
"11791_3#13",2,6
"11791_3#14",23,93
"11791_3#15",2,7
"11791_3#16",5,22
"11791_3#17",14,66
"11791_3#18",24,99
"11791_3#19",5,21
"11791_3#2",5,21
"11791_3#20",12,57
"11791_3#21",4,17
"11791_3#22",22,91
"11791_3#23",22,91
"11791_3#24",4,17
"11791_3#25",14,63
"11791_3#26",3,12
"11791_3#27",11,54
"11791_3#28",23,96
"11791_3#29",14,63
"11791_3#3",17,74
"11791_3#30",12,60
"11791_3#31",19,80
"11791_3#32",3,11
"11791_3#33",11,54
"11791_3#34",4,17
"11791_3#35",1,1
"11791_3#36",4,16
"11791_3#37",8,40
"11791_3#38",6,26
"11791_3#39",22,92
"11791_3#4",19,80
"11791_3#40",4,16
"11791_3#41",22,90
"11791_3#42",4,16
"11791_3#43",3,11
"11791_3#44",5,21
"11791_3#45",2,7
"11791_3#46",14,64
"11791_3#47",19,80
"11791_3#48",4,16
"11791_3#49",3,12
"11791_3#5",12,58
"11791_3#50",2,7
"11791_3#51",2,6
"11791_3#52",21,88
"11791_3#53",20,83
"11791_3#54",5,21
"11791_3#55",2,7
"11791_3#56",11,54
"11791_3#57",12,57
"11791_3#58",3,13
"11791_3#59",19,80
"11791_3#6",23,95
"11791_3#60",8,42
"11791_3#61",2,6
"11791_3#62",3,12
"11791_3#63",13,62
"11791_3#64",17,72
"11791_3#65",5,21
"11791_3#66",5,21
"11791_3#67",2,7
"11791_3#68",23,93
"11791_3#69",3,11
"11791_3#7",4,15
"11791_3#70",16,69
"11791_3#71",14,63
"11791_3#72",23,93
"11791_3#73",6,28
"11791_3#74",6,25
"11791_3#75",4,17
"11791_3#76",24,100
"11791_3#77",4,15
"11791_3#78",12,57
"11791_3#79",14,63
"11791_3#8",6,28
"11791_3#80",5,21
"11791_3#81",3,11
"11791_3#82",1,1
"11791_3#83",13,61
"11791_3#84",8,38
"11791_3#85",2,7
"11791_3#86",6,28
"11791_3#87",23,95
"11791_3#88",2,9
"11791_3#89",4,16
"11791_3#9",2,6
"11791_3#90",23,94
"11791_3#91",11,54
"11791_3#92",3,13
"11791_3#93",1,1
"11791_3#94",5,23
"11791_3#95",24,100
"11791_3#96",12,57
"11791_6#1",3,12
"11791_6#10",4,15
"11791_6#11",3,13
"11791_6#12",14,66
"11791_6#13",12,57
"11791_6#14",16,70
"11791_6#15",4,14
"11791_6#16",15,67
"11791_6#17",24,99
"11791_6#18",7,36
"11791_6#19",10,51
"11791_6#2",5,21
"11791_6#20",6,25
"11791_6#21",6,26
"11791_6#22",4,16
"11791_6#23",4,16
"11791_6#24",3,11
"11791_6#25",3,11
"11791_6#26",6,29
"11791_6#27",13,61
"11791_6#28",12,57
"11791_6#29",10,51
"11791_6#3",5,21
"11791_6#30",3,11
"11791_6#32",3,11
"11791_6#33",13,62
"11791_6#34",8,38
"11791_6#35",10,51
"11791_6#36",6,28
"11791_6#37",3,11
"11791_6#38",10,50
"11791_6#39",4,18
"11791_6#4",6,29
"11791_6#5",4,20
"11791_6#6",1,1
"11791_6#7",3,11
"11791_6#9",3,11
"11791_7#1",4,15
"11791_7#10",9,44
"11791_7#11",6,25
"11791_7#12",4,16
"11791_7#13",4,16
"11791_7#14",4,16
"11791_7#15",6,26
"11791_7#16",2,7
"11791_7#17",1,1
"11791_7#18",6,26
"11791_7#19",4,18
"11791_7#2",3,11
"11791_7#20",6,25
"11791_7#21",3,13
"11791_7#22",4,15
"11791_7#23",6,26
"11791_7#24",6,25
"11791_7#25",4,14
"11791_7#26",10,51
"11791_7#27",14,63
"11791_7#28",4,15
"11791_7#29",7,36
"11791_7#3",7,36
"11791_7#30",2,6
"11791_7#32",19,80
"11791_7#33",6,28
"11791_7#34",4,16
"11791_7#35",6,29
"11791_7#36",5,21
"11791_7#37",2,7
"11791_7#38",6,26
"11791_7#39",1,1
"11791_7#4",4,15
"11791_7#40",4,14
"11791_7#41",4,17
"11791_7#42",2,7
"11791_7#44",4,16
"11791_7#45",3,13
"11791_7#46",8,38
"11791_7#47",13,61
"11791_7#48",4,18
"11791_7#49",3,11
"11791_7#5",3,11
"11791_7#50",3,11
"11791_7#51",18,78
"11791_7#52",13,61
"11791_7#53",5,21
"11791_7#54",24,99
"11791_7#55",3,11
"11791_7#56",4,17
"11791_7#57",22,91
"11791_7#58",14,63
"11791_7#59",3,11
"11791_7#6",17,72
"11791_7#60",3,11
"11791_7#61",4,16
"11791_7#62",4,18
"11791_7#63",4,16
"11791_7#64",4,16
"11791_7#65",4,17
"11791_7#66",1,1
"11791_7#67",12,59
"11791_7#68",14,65
"11791_7#69",20,84
"11791_7#7",3,11
"11791_7#70",9,49
"11791_7#9",17,72
"11893_8#71",23,96
"12045_3#57",6,33
"12045_3#58",5,21
"12045_3#59",13,61
"12045_3#60",4,16
"12045_3#61",1,1
"12045_3#62",18,79
"12045_3#63",4,16
"12045_3#64",12,57
"12045_3#65",19,80
"12045_3#66",6,29
"12045_3#67",4,16
